crop,stage,sowing_date,disease
Toor (Pigeon Pea),Seedling,2025-06-16,Nete Disease
Toor (Pigeon Pea),Pod Formation,2025-07-12,Fusarium Wilt
Toor (Pigeon Pea),Pre-Flower,2025-07-04,Nete Disease
Toor (Pigeon Pea),Seedling,2025-06-24,Nete Disease
Toor (Pigeon Pea),Flowering,2025-06-30,Fusarium Wilt
Toor (Pigeon Pea),Seedling,2025-06-26,Powdery Mildew
Toor (Pigeon Pea),Maturity,2025-07-10,Fusarium Wilt
Toor (Pigeon Pea),Pre-Flower,2025-06-19,Nete Disease
Toor (Pigeon Pea),Pre-Flower,2025-06-29,Powdery Mildew
Toor (Pigeon Pea),Vegetative,2025-07-03,Nete Disease
Toor (Pigeon Pea),Seedling,2025-07-06,Fusarium Wilt
Toor (Pigeon Pea),Seedling,2025-07-14,Fusarium Wilt
Toor (Pigeon Pea),Seedling,2025-07-05,Nete Disease
Toor (Pigeon Pea),Maturity,2025-07-07,Powdery Mildew
Toor (Pigeon Pea),Vegetative,2025-06-21,Nete Disease
Toor (Pigeon Pea),Vegetative,2025-07-15,Fusarium Wilt
Toor (Pigeon Pea),Maturity,2025-07-08,Sterility Mosaic Disease
Toor (Pigeon Pea),Pre-Flower,2025-07-15,Nete Disease
Toor (Pigeon Pea),Flowering,2025-06-23,Alternaria Leaf Spot
Toor (Pigeon Pea),Pod Formation,2025-07-07,Alternaria Leaf Spot
Toor (Pigeon Pea),Seedling,2025-06-17,Alternaria Leaf Spot
Toor (Pigeon Pea),Pod Formation,2025-06-17,Dry Root Rot
Toor (Pigeon Pea),Seedling,2025-07-01,Leaf Spot (Cercospora)
Toor (Pigeon Pea),Maturity,2025-06-29,Dry Root Rot
Toor (Pigeon Pea),Vegetative,2025-07-02,Alternaria Leaf Spot
Toor (Pigeon Pea),Maturity,2025-06-27,Alternaria Leaf Spot
Toor (Pigeon Pea),Flowering,2025-06-18,Dry Root Rot
Toor (Pigeon Pea),Vegetative,2025-07-13,Fusarium Wilt
Toor (Pigeon Pea),Vegetative,2025-06-17,Fusarium Wilt
Toor (Pigeon Pea),Pre-Flower,2025-06-21,Powdery Mildew
Toor (Pigeon Pea),Maturity,2025-06-22,Dry Root Rot
Toor (Pigeon Pea),Vegetative,2025-07-15,Powdery Mildew
Toor (Pigeon Pea),Maturity,2025-07-11,Nete Disease
Toor (Pigeon Pea),Seedling,2025-07-02,Dry Root Rot
Toor (Pigeon Pea),Vegetative,2025-06-29,Dry Root Rot
Toor (Pigeon Pea),Vegetative,2025-07-11,Leaf Spot (Cercospora)
Toor (Pigeon Pea),Pod Formation,2025-07-11,Dry Root Rot
Toor (Pigeon Pea),Seedling,2025-06-29,Nete Disease
Toor (Pigeon Pea),Pre-Flower,2025-06-26,Dry Root Rot
Toor (Pigeon Pea),Vegetative,2025-06-28,Sterility Mosaic Disease
Toor (Pigeon Pea),Maturity,2025-07-15,Leaf Spot (Cercospora)
Toor (Pigeon Pea),Vegetative,2025-06-29,Fusarium Wilt
Toor (Pigeon Pea),Pre-Flower,2025-06-18,Leaf Spot (Cercospora)
Toor (Pigeon Pea),Seedling,2025-06-22,Dry Root Rot
Toor (Pigeon Pea),Seedling,2025-07-04,Powdery Mildew
Toor (Pigeon Pea),Flowering,2025-06-23,Fusarium Wilt
Toor (Pigeon Pea),Pre-Flower,2025-06-18,Sterility Mosaic Disease
Toor (Pigeon Pea),Pre-Flower,2025-06-24,Alternaria Leaf Spot
Toor (Pigeon Pea),Seedling,2025-07-09,Powdery Mildew
Toor (Pigeon Pea),Flowering,2025-07-05,Alternaria Leaf Spot
Toor (Pigeon Pea),Vegetative,2025-06-28,Powdery Mildew
Toor (Pigeon Pea),Pod Formation,2025-06-17,Leaf Spot (Cercospora)
Toor (Pigeon Pea),Seedling,2025-06-22,Nete Disease
Toor (Pigeon Pea),Pod Formation,2025-06-29,Nete Disease
Toor (Pigeon Pea),Maturity,2025-06-30,Fusarium Wilt
Toor (Pigeon Pea),Flowering,2025-06-22,Sterility Mosaic Disease
Toor (Pigeon Pea),Vegetative,2025-06-22,Nete Disease
Toor (Pigeon Pea),Vegetative,2025-06-29,Nete Disease
Toor (Pigeon Pea),Vegetative,2025-07-09,Fusarium Wilt
Toor (Pigeon Pea),Pod Formation,2025-07-03,Powdery Mildew
Toor (Pigeon Pea),Pod Formation,2025-06-15,Leaf Spot (Cercospora)
Toor (Pigeon Pea),Pod Formation,2025-07-15,Fusarium Wilt
Toor (Pigeon Pea),Pod Formation,2025-06-18,Alternaria Leaf Spot
Toor (Pigeon Pea),Seedling,2025-06-26,Fusarium Wilt
Toor (Pigeon Pea),Pre-Flower,2025-07-06,Dry Root Rot
Toor (Pigeon Pea),Pre-Flower,2025-07-13,Dry Root Rot
Toor (Pigeon Pea),Seedling,2025-07-03,Nete Disease
